[2026-07-17 15:44:48.779] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":64}
[2026-07-17 15:44:48.787] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":67}
[2026-07-17 15:44:48.799] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":70}
[2026-07-17 15:44:48.803] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":71}
[2026-07-17 15:44:48.806] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":74}
[2026-07-17 15:44:48.812] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":77}
[2026-07-17 15:44:48.815] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":80}
[2026-07-17 15:44:48.821] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":83}
[2026-07-17 15:44:48.824] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":85}
[2026-07-17 15:44:48.829] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2026-07-17 15:44:48.830] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2026-07-17 15:44:48.830] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":89}
[2026-07-17 15:44:48.837] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":92}
[2026-07-17 15:44:48.843] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2026-07-17 15:44:48.845] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":94}
[2026-07-17 15:44:48.849] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":97}
[2026-07-17 15:44:48.854] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":98}
[2026-07-17 15:44:48.856] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2026-07-17 15:44:48.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2026-07-17 15:44:50.517] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2026-07-17 15:44:50.551] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2026-07-17 15:44:50.575] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2026-07-17 15:44:50.595] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2026-07-17 15:44:50.612] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2026-07-17 15:44:50.628] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2026-07-17 15:44:50.642] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2026-07-17 15:44:50.655] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2026-07-17 15:44:50.668] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2026-07-17 15:44:50.679] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2026-07-17 15:44:50.690] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2026-07-17 15:44:50.704] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2026-07-17 15:44:50.714] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
